Dhid,East,North,Elev,TD,Exp_Line,Year
DH_2602-2,8816.754,67405.532,852.883,65,,
DH_825-1,8289.125,68255.411,820.138,70,,
DH_2515-1,8636.103,67417.130,847.858,70,,
DH_2515-2,8658.881,67381.471,848.345,70,,
DH_894-1,8691.872,67338.622,851.772,70,,
DH_2143-1,8228.612,68206.117,819.938,70,,
DH_2143-2,8205.903,68310.6,815.98,50,,
DH_2604-1,8545.309,67225.111,851.21,55,,
DH_2411-1,8143.65,68258.09,819.30,70,,
DH_2415-1,8328.526,67185.907,848.798,50,,
DH_2415-2,8329.95,67176.10,849.20,55,,
DH_2409-1,7980.766,68284.569,817.28,60,,
